,コース１,コース１,コース１,コース１,コース2,コース2,コース2,コース2,Par,Yards,CourseRating,SlopeRating
,コース,グリーン,ティー,査定日,コース,グリーン,ティー,査定日,Par,Yards,CourseRating,SlopeRating
,アウト,コーライ,バック,2010.09.13,イン,コーライ,バック,2010.09.13,72,6729,71.7,130
,アウト,コーライ,レギュラー,2010.09.13,イン,コーライ,レギュラー,2010.09.13,72,6195,69.3,123
,アウト,コーライ,レディース,2010.09.13,イン,コーライ,レディース,2010.09.13,72,5538,67.0,116
イーグルレイクゴルフクラブ,OUT,ベント,バック,2021.03.22,IN,ベント,バック,2021.03.22,72,6677,71.7,134
,OUT,ベント,レギュラー,2021.03.22,IN,ベント,レギュラー,2021.03.22,72,6323,70.2,131
,OUT,ベント,フロント1,2021.03.22,IN,ベント,フロント1,2021.03.22,72,6024,69.1,128
,OUT,ベント,フロント2,2021.03.22,IN,ベント,フロント2,2021.03.22,72,5608,67.3,125
,OUT,ベント,レディース,2021.03.22,IN,ベント,レディース,2021.03.22,72,5192,65.4,121
大多喜カントリークラブ,東,ベント,バック_,,南,ベント,バック,2009.07.29,72,6560,71.3,129
,東,ベント,レギュラー_,,南,ベント,レギュラー_,,72,6208,69.8,124
,東,ベント,フロント1,2009.07.29,南,ベント,フロント1_,,72,5387,66.8,115
,東,コーライ,バック,2009.07.29,南,コーライ,バック,2009.07.29,72,6655,71.5,129
,東,コーライ,レギュラー,2009.07.29,南,コーライ,レギュラー,2009.07.29,72,6307,70.0,125
,東,コーライ,フロント1,2009.07.29,南,コーライ,フロント1,2009.07.29,72,5472,66.9,116
,西,ベント,バック,2009.07.29,東,ベント,バック,2009.07.29,72,6567,71.1,128
,西,ベント,レギュラー,2009.07.29,東,ベント,レギュラー,2009.07.29,72,6145,69.3,123
,西,ベント,フロント1_,,東,ベント,フロント1,2009.07.29,72,5387,66.6,115
,西,コーライ,バック,2009.07.29,東,コーライ,バック,2009.07.29,72,6663,71.4,129
,西,コーライ,レギュラー_,,東,コーライ,レギュラー_,,72,6240,69.5,123
,西,コーライ,フロント1_,,東,コーライ,フロント1_,,72,5524,66.9,116
,南,ベント,バック,2009.07.29,西,ベント,バック,2009.07.29,72,6553,71.1,128
,南,ベント,レギュラー,2009.07.29,西,ベント,レギュラー_,,72,6115,69.3,123
,南,ベント,フロント1,2009.07.29,西,ベント,フロント1,2009.07.29,72,5416,66.7,115
,南,コーライ,バック,2009.07.29,西,コーライ,バック,2009.07.29,72,6660,71.5,129
,南,コーライ,レギュラー,2009.07.29,西,コーライ,レギュラー,2009.07.29,72,6227,69.6,124
,南,コーライ,フロント1,2009.07.29,西,コーライ,フロント1,2009.07.29,72,5568,67.1,116
オーク・ヒルズカントリークラブ,アウト,ベント,Black,2014.06.30,イン,ベント,Black,2014.06.30,72,6900,72.8,129
