,コース１,コース１,コース１,コース１,コース2,コース2,コース2,コース2,Par,Yards,CourseRating,SlopeRating
,コース,グリーン,ティー,査定日,コース,グリーン,ティー,査定日,Par,Yards,CourseRating,SlopeRating
,男体アウト,Bグリーン,フロント2__,,富士,Bグリーン,フロント2..,,72,4864,67.7,114
,男体イン,Aグリーン,バック_,,筑波アウト,Aグリーン,バック,2009.04.27,72,6441,75.7,135
,男体イン,Aグリーン,レギュラー,2009.04.27,筑波アウト,Aグリーン,レギュラー,2009.04.27,72,6028,73.5,130
,男体イン,Aグリーン,フロント1_,,筑波アウト,Aグリーン,フロント1__,,72,5607,71.3,124
,男体イン,Aグリーン,フロント2_,,筑波アウト,Aグリーン,フロント2__,,72,4685,67.3,113
,男体イン,Bグリーン,バック,2009.04.27,筑波アウト,Bグリーン,バック,2009.04.27,72,6229,74.6,133
,男体イン,Bグリーン,レギュラー,2009.04.27,筑波アウト,Bグリーン,レギュラー,2009.04.27,72,5825,72.5,127
,男体イン,Bグリーン,フロント1_,,筑波アウト,Bグリーン,フロント1_,,72,5403,70.2,121
,男体イン,Bグリーン,フロント2_,,筑波アウト,Bグリーン,フロント2,2009.04.27,72,4481,66.5,111
,男体イン,Aグリーン,バック,2009.04.27,筑波イン,Aグリーン,バック,2009.04.27,72,6527,75.8,136
,男体イン,Aグリーン,レギュラー,2009.04.27,筑波イン,Aグリーン,レギュラー,2009.04.27,72,6138,73.8,131
,男体イン,Aグリーン,フロント1__,,筑波イン,Aグリーン,フロント1,2009.04.27,72,5638,71.1,123
,男体イン,Aグリーン,フロント2,2009.04.27,筑波イン,Aグリーン,フロント2__,,72,4819,67.5,114
,男体イン,Bグリーン,バック,2009.04.27,筑波イン,Bグリーン,バック_,,72,6267,74.5,132
,男体イン,Bグリーン,レギュラー,2009.04.27,筑波イン,Bグリーン,レギュラー,2009.04.27,72,5888,72.5,127
,男体イン,Bグリーン,フロント1_,,筑波イン,Bグリーン,フロント1__,,72,5379,69.9,120
,男体イン,Bグリーン,フロント2,2009.04.27,筑波イン,Bグリーン,フロント2,2009.04.27,72,4555,66.5,111
,男体イン,Aグリーン,バック_,,富士,Aグリーン,バック__,,72,6502,75.6,135
,男体イン,Aグリーン,レギュラー_,,富士,Aグリーン,レギュラー__,,72,6081,73.4,129
,男体イン,Aグリーン,フロント1,2009.04.27,富士,Aグリーン,フロント1,2009.04.27,72,5635,71.0,123
,男体イン,Aグリーン,フロント2,2009.04.27,富士,Aグリーン,フロント2_,,72,4854,67.6,114
,男体イン,Bグリーン,バック_,,富士,Bグリーン,バック__,,72,6312,74.6,133
,男体イン,Bグリーン,レギュラー,2009.04.27,富士,Bグリーン,レギュラー,2009.04.27,72,5889,72.4,127
,男体イン,Bグリーン,フロント1__,,富士,Bグリーン,フロント1_,,72,5443,70.0,120
,男体イン,Bグリーン,フロント2,2009.04.27,富士,Bグリーン,フロント2__,,72,4667,66.9,112
,筑波アウト,Aグリーン,バック_,,筑波イン,Aグリーン,バック,2009.04.27,72,6586,76.4,137
,筑波アウト,Aグリーン,レギュラー_,,筑波イン,Aグリーン,レギュラー_,,72,6162,74.1,131
,筑波アウト,Aグリーン,フロント1,2009.04.27,筑波イン,Aグリーン,フロント1_,,72,5673,71.6,125
,筑波アウト,Aグリーン,フロント2,2009.04.27,筑波イン,Aグリーン,フロント2_,,72,4892,68.0,115
,筑波アウト,Bグリーン,バック__,,筑波イン,Bグリーン,バック__,,72,6332,75.0,134
,筑波アウト,Bグリーン,レギュラー,2009.04.27,筑波イン,Bグリーン,レギュラー,2009.04.27,72,5909,72.8,128
,筑波アウト,Bグリーン,フロント1,2009.04.27,筑波イン,Bグリーン,フロント1..,,72,5412,70.2,121
,筑波アウト,Bグリーン,フロント2,2009.04.27,筑波イン,Bグリーン,フロント2__,,72,4626,66.8,112
,筑波アウト,Aグリーン,バック,2009.04.27,富士,Aグリーン,バック..,,72,6561,76.1,137
,筑波アウト,Aグリーン,レギュラー_,,富士,Aグリーン,レギュラー_,,72,6105,73.7,130
,筑波アウト,Aグリーン,フロント1_,,富士,Aグリーン,フロント1__,,72,5670,71.4,124
,筑波アウト,Aグリーン,フロント2_,,富士,Aグリーン,フロント2,2009.04.27,72,4927,68.0,115
,筑波アウト,Bグリーン,バック_,,富士,Bグリーン,バック_,,72,6377,75.2,134
,筑波アウト,Bグリーン,レギュラー,2009.04.27,富士,Bグリーン,レギュラー,2009.04.27,72,5910,72.7,128
,筑波アウト,Bグリーン,フロント1,2009.04.27,富士,Bグリーン,フロント1__,,72,5476,70.4,121
,筑波アウト,Bグリーン,フロント2,2009.04.27,富士,Bグリーン,フロント2_,,72,4738,67.2,113
,筑波イン,Aグリーン,バック_,,富士,Aグリーン,バック,2009.04.27,72,6647,76.4,137
,筑波イン,Aグリーン,レギュラー_,,富士,Aグリーン,レギュラー,2009.04.27,72,6215,74.1,131
,筑波イン,Aグリーン,フロント1,2009.04.27,富士,Aグリーン,フロント1..,,72,5701,71.4,124
,筑波イン,Aグリーン,フロント2,2009.04.27,富士,Aグリーン,フロント2_,,72,5061,68.4,116
,筑波イン,Bグリーン,バック_,,富士,Bグリーン,バック_,,72,6415,75.1,134
,筑波イン,Bグリーン,レギュラー,2009.04.27,富士,Bグリーン,レギュラー_,,72,5973,72.8,128
,筑波イン,Bグリーン,フロント1,2009.04.27,富士,Bグリーン,フロント1_,,72,5452,70.1,120
