,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
,Yellow,M,71,68.8,92.4,127,34.3  /  131,34.5  /  123
,Red,M,71,67.0,88.7,117,33.5  /  121,33.5  /  113
,Orange,M,68,65.6,86.4,112,32.8  /  112,32.8  /  112
,Yellow,F,74,74.1,105.2,132,37.1  /  131,37.0  /  133
,Red,F,74,71.7,102.2,129,35.9  /  127,35.8  /  131
,Orange,F,72,70.8,100.6,126,35.4  /  126,35.4  /  126
Royal North Devon Golf Club (1014309) - Royal North Devon,Black,M,72,74.5,99.5,135,37.4  /  133,37.1  /  136
,White,M,71,72.5,97.3,134,36.1  /  129,36.4  /  138
,Yellow,M,72,71.5,95.6,130,35.8  /  127,35.7  /  132
,Red - Men,M,69,67.6,88.4,112,34.1  /  110,33.5  /  114
,Red,F,73,73.5,104.8,133,37.0  /  136,36.5  /  130
Saunton Golf Club (1014814) - East,Blue +,M,71,75.3,99.1,128,38.2  /  130,37.1  /  126
,Blue,M,71,74.4,97.9,127,37.8  /  130,36.6  /  123
,White,M,71,72.7,95.4,122,37.0  /  128,35.7  /  116
,Yellow,M,70,68.8,90.4,116,34.9  /  119,33.9  /  113
,Red,F,74,75.7,107.8,136,38.6  /  140,37.1  /  132
Saunton Golf Club (1014814) - West,Blue,M,71,73.4,100.0,143,36.2  /  140,37.2  /  146
,White,M,71,71.3,97.0,139,35.4  /  135,35.9  /  142
,Yellow,M,71,69.5,94.0,132,34.3  /  130,35.2  /  133
,Red,M,67,66.8,90.0,125,32.9  /  122,33.9  /  128
,Yellow,F,71,75.6,108.8,141,37.6  /  139,38.0  /  142
,Red,F,71,72.4,103.6,132,35.8  /  131,36.6  /  133
Sidmouth Golf Club (1015331) - Sidmouth,White,M,66,65.8,87.3,116,33.6  /  116,32.2  /  115
,Yellow,M,66,65.0,86.3,115,33.2  /  114,31.8  /  115
,Clubhouse 9 White,M,33,32.5,42.6,109,32.5  /  109,/
,Clubhouse 9 Yellow,M,33,31.9,41.9,108,31.9  /  108,/
,Red 2018,F,69,68.3,95.9,117,35.1  /  124,33.2  /  110
,Clubhouse 9 Red,F,35,34.1,48.0,118,34.1  /  118,/
Staddon Heights Golf Club (1016041) - Staddon Heights,White Plus,M,70,70.9,95.9,135,36.9  /  137,34.0  /  132
,White,M,70,70.8,95.7,134,36.8  /  136,34.0  /  132
,Yellow,M,70,70.0,94.7,133,36.5  /  132,33.5  /  133
,Red,M,69,68.4,92.1,128,35.9  /  129,32.5  /  126
,Mats,M,69,67.4,90.8,126,35.2  /  126,32.2  /  126
,Red,F,73,74.3,104.9,130,38.8  /  137,35.5  /  123
,Mats,F,73,73.3,103.2,127,38.2  /  131,35.1  /  123
Stover Golf Club (1016400) - Stover,White,M,69,69.5,93.1,127,34.4  /  126,35.1  /  128
,Yellow,M,69,68.0,90.2,120,33.4  /  115,34.6  /  124
,Red,M,69,66.8,88.7,118,33.1  /  110,33.7  /  126
,Blue,M,57,59.5,78.7,103,29.6  /  103,29.9  /  103
,Yellow,F,72,73.8,104.7,131,35.9  /  131,37.9  /  131
,Red,F,72,71.9,102.1,128,35.3  /  130,36.6  /  126
,Blue,F,63,61.0,85.7,105,30.5  /  109,30.5  /  100
Tavistock Golf Club (1016849) - Tavistock,White,M,71,71.7,94.3,122,35.5  /  122,36.2  /  122
,Yellow,M,70,70.2,92.5,120,34.7  /  124,35.5  /  116
,Red - Men,M,68,68.1,89.6,116,33.8  /  116,34.3  /  115
,White - Women,F,75,77.5,109.4,135,38.2  /  133,39.3  /  137
,Yellow - Women,F,75,75.7,106.6,131,37.4  /  130,38.3  /  132
,Red - 2018,F,74,73.5,103.3,127,36.3  /  126,37.2  /  127
Teign Valley Golf Club (1016877) - Teign Valley,White,M,70,69.5,92.3,123,33.4  /  116,36.1  /  129
,Yellow,M,69,67.6,90.0,121,32.5  /  117,35.1  /  124
,Yellow Winter,M,69,67.1,88.8,117,32.4  /  112,34.7  /  122
,Red Winter,M,69,65.9,86.9,113,31.9  /  109,34.0  /  117
,Red,M,67,65.7,87.9,120,31.8  /  122,33.9  /  117
,Red,F,68,72.0,101.3,125,34.8  /  118,37.2  /  131
,Red Winter,F,73,71.0,100.8,126,33.9  /  121,37.1  /  131
Teignmouth Golf Club (1016883) - Teignmouth,White,M,69,70.6,94.4,128,35.4  /  126,35.2  /  130
,Yellow,M,71,69.8,93.2,126,34.7  /  127,35.1  /  125
,Red - Men,M,67,67.9,90.2,120,33.7  /  121,34.2  /  119
,Blue,M,63,63.8,83.7,108,31.5  /  108,32.3  /  107
