,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,コース１,コース１.1,コース１.2,コース１.3,コース2,コース2.1,コース2.2,コース2.3,Par,Yards,CourseRating,SlopeRating
32,5665,5665,足柄森林カントリー倶楽部,OUT,Bグリーン,バック,2015.09.09,IN,Bグリーン,バック,2015.09.09,72,6315,70.4,125
33,5666,5666,足柄森林カントリー倶楽部,OUT,Bグリーン,レギュラー,2015.09.09,IN,Bグリーン,レギュラー,2015.09.09,72,5884,68.2,122
34,5667,5667,足柄森林カントリー倶楽部,OUT,Bグリーン,レディース,2015.09.09,IN,Bグリーン,レディース,2015.09.09,72,4968,64.1,110
35,9747,9747,大博多カントリー倶楽部,桧,ベント(B1),バック,2008.09.13,松,ベント(B1),バック,2008.09.13,72,6710,72.1,131
36,9748,9748,大博多カントリー倶楽部,桧,ベント(B1),レギュラー,2008.09.13,松,ベント(B1),レギュラー,2008.09.13,72,6350,70.3,126
37,9749,9749,大博多カントリー倶楽部,桧,ベント(B1),フロント1,2008.09.13,松,ベント(B1),フロント1,2008.09.13,72,5702,67.8,118
38,9750,9750,大博多カントリー倶楽部,桧,ベント(B2),バック,2008.09.13,松,ベント(B2),バック,2008.09.13,72,6488,71.0,128
39,9751,9751,大博多カントリー倶楽部,桧,ベント(B2),レギュラー,2008.09.13,松,ベント(B2),レギュラー_,2008.09.13,72,6128,69.4,123
40,9752,9752,大博多カントリー倶楽部,桧,ベント(B2),フロント1,2008.09.13,松,ベント(B2),フロント1,2008.09.13,72,5491,66.7,115
41,9753,9753,大博多カントリー倶楽部,松,ベント(B1),バック,2008.09.13,杉,ベント(B1),バック,2008.09.13,72,6303,70.8,128
42,9754,9754,大博多カントリー倶楽部,松,ベント(B1),レギュラー,2008.09.13,杉,ベント(B1),レギュラー,2008.09.13,72,5984,69.3,123
43,9755,9755,大博多カントリー倶楽部,松,ベント(B1),フロント1_,2008.09.13,杉,ベント(B1),フロント1,2008.09.13,72,5342,67.0,116
44,9756,9756,大博多カントリー倶楽部,松,ベント(B2),バック,2008.09.13,杉,ベント(B2),バック,2008.09.13,72,6156,69.9,125
45,9757,9757,大博多カントリー倶楽部,松,ベント(B2),レギュラー,2008.09.13,杉,ベント(B2),レギュラー,2008.09.13,72,5840,68.7,121
46,9758,9758,大博多カントリー倶楽部,松,ベント(B2),フロント1,2008.09.13,杉,ベント(B2),フロント1_,2008.09.13,72,5210,66.2,114
47,9759,9759,大博多カントリー倶楽部,杉,ベント(B1),バック_,2008.09.13,桧,ベント(B1),バック_,2008.09.13,72,6405,70.8,128
48,9760,9760,大博多カントリー倶楽部,杉,ベント(B1),レギュラー,2008.09.13,桧,ベント(B1),レギュラー,2008.09.13,72,6020,69.2,123
49,9761,9761,大博多カントリー倶楽部,杉,ベント(B1),フロント1,2008.09.13,桧,ベント(B1),フロント1,2008.09.13,72,5572,67.6,118
50,9762,9762,大博多カントリー倶楽部,杉,ベント(B2),バック,2008.09.13,桧,ベント(B2),バック,2008.09.13,72,6196,69.7,124
51,9763,9763,大博多カントリー倶楽部,杉,ベント(B2),レギュラー_,2008.09.13,桧,ベント(B2),レギュラー,2008.09.13,72,5806,68.2,119
52,9764,9764,大博多カントリー倶楽部,杉,ベント(B2),フロント1,2008.09.13,桧,ベント(B2),フロント1,2008.09.13,72,5355,66.4,114
53,9962,9962,佐賀カントリー倶楽部,OUT,ベント,バック,2008.02.28,IN,ベント,バック,2008.02.28,72,6748,72.8,133
54,9963,9963,佐賀カントリー倶楽部,OUT,ベント,レギュラー,2008.02.28,IN,ベント,レギュラー,2008.02.28,72,6333,70.3,126
55,9964,9964,佐賀カントリー倶楽部,OUT,ベント,フロント1,2008.02.28,IN,ベント,フロント1,2008.02.28,72,6031,69.1,122
56,8945,8945,徳山国際カントリー倶楽部,OUT,メインベント,バック,2009.07.02,IN,メインベント,バック,2009.07.02,72,6811,72.1,131
57,8946,8946,徳山国際カントリー倶楽部,OUT,メインベント,レギュラー,2009.07.02,IN,メインベント,レギュラー,2009.07.02,72,6204,69.3,123
58,8947,8947,徳山国際カントリー倶楽部,OUT,メインベント,フロント,2009.07.02,IN,メインベント,フロント,2009.07.02,72,5707,67.6,118
59,8948,8948,徳山国際カントリー倶楽部,OUT,メインベント,レディース,2009.07.02,IN,メインベント,レディース,2009.07.02,72,4973,64.7,110
60,8949,8949,徳山国際カントリー倶楽部,OUT,サブベント,バック,2009.07.02,IN,サブベント,バック,2009.07.02,72,6521,70.5,126
61,8950,8950,徳山国際カントリー倶楽部,OUT,サブベント,レギュラー,2009.07.02,IN,サブベント,レギュラー,2009.07.02,72,6022,68.5,121
62,8951,8951,徳山国際カントリー倶楽部,OUT,サブベント,フロント,2009.07.02,IN,サブベント,フロント,2009.07.02,72,5597,67.1,116
63,8952,8952,徳山国際カントリー倶楽部,OUT,サブベント,レディース,2009.07.02,IN,サブベント,レディース,2009.07.02,72,4976,64.7,109
64,7180,7180,名神栗東カントリー倶楽部,OUT,ベントA,バック,2006.10.03,IN,ベントA,バック,2006.10.03,72,7100,74.3,137
65,7181,7181,名神栗東カントリー倶楽部,OUT,ベントA,レギュラー,2006.10.03,IN,ベントA,レギュラー,2006.10.03,72,6698,72.4,132
66,7182,7182,名神栗東カントリー倶楽部,OUT,ベントA,フロント1,2006.10.03,IN,ベントA,フロント1,2006.10.03,72,6270,70.4,126
67,7183,7183,名神栗東カントリー倶楽部,OUT,ベントB,バック,2006.10.03,IN,ベントB,バック,2006.10.03,72,6706,72.4,132
68,7184,7184,名神栗東カントリー倶楽部,OUT,ベントB,レギュラー,2006.10.03,IN,ベントB,レギュラー,2006.10.03,72,6313,70.6,127
69,7185,7185,名神栗東カントリー倶楽部,OUT,ベントB,フロント1,2006.10.03,IN,ベントB,フロント1,2006.10.03,72,5900,68.9,122
70,2014,2014,都賀カンツリー倶楽部,西,右グリーン,バック,2020.06.23,北,右グリーン,バック,2020.06.23,72,6958,72.6,126
71,2015,2015,都賀カンツリー倶楽部,西,右グリーン,レギュラー,2020.06.23,北,右グリーン,レギュラー,2020.06.23,72,6608,71.3,122
72,2016,2016,都賀カンツリー倶楽部,西,右グリーン,フロント1,2020.06.23,北,右グリーン,フロント1,2020.06.23,72,6169,68.7,120
73,2017,2017,都賀カンツリー倶楽部,西,右グリーン,フロント2,2020.06.23,北,右グリーン,フロント2,2020.06.23,72,5023,63.8,108
74,2018,2018,都賀カンツリー倶楽部,西,左グリーン,バック,2020.06.23,北,左グリーン,バック,2020.06.23,72,6902,72.3,127
75,2019,2019,都賀カンツリー倶楽部,西,左グリーン,レギュラー,2020.06.23,北,左グリーン,レギュラー,2020.06.23,72,6549,70.9,124
76,2020,2020,都賀カンツリー倶楽部,西,左グリーン,フロント1,2020.06.23,北,左グリーン,フロント1,2020.06.23,72,6110,68.5,120
77,2021,2021,都賀カンツリー倶楽部,西,左グリーン,フロント2,2020.06.23,北,左グリーン,フロント2,2020.06.23,72,4954,63.6,108
78,2022,2022,都賀カンツリー倶楽部,北,右グリーン,バック,2020.06.23,東,右グリーン,バック,2020.06.23,72,6475,70.9,121
79,2023,2023,都賀カンツリー倶楽部,北,右グリーン,レギュラー,2020.06.23,東,右グリーン,レギュラー,2020.06.23,72,6251,70.1,118
80,2024,2024,都賀カンツリー倶楽部,北,右グリーン,フロント1,2020.06.23,東,右グリーン,フロント1,2020.06.23,72,5900,68.0,115
81,2025,2025,都賀カンツリー倶楽部,北,右グリーン,フロント2,2020.06.23,東,右グリーン,フロント2,2020.06.23,72,4911,63.6,106
82,2026,2026,都賀カンツリー倶楽部,北,左グリーン,バック,2020.06.23,東,左グリーン,バック,2020.06.23,72,6483,70.8,122
83,2027,2027,都賀カンツリー倶楽部,北,左グリーン,レギュラー,2020.06.23,東,左グリーン,レギュラー,2020.06.23,72,6256,70.1,119
84,2028,2028,都賀カンツリー倶楽部,北,左グリーン,フロント1,2020.06.23,東,左グリーン,フロント1,2020.06.23,72,5905,68.1,115
85,2029,2029,都賀カンツリー倶楽部,北,左グリーン,フロント2,2020.06.23,東,左グリーン,フロント2,2020.06.23,72,4906,63.8,106
86,2030,2030,都賀カンツリー倶楽部,東,右グリーン,バック,2020.06.23,西,右グリーン,バック,2020.06.23,72,6357,70.1,123
87,2031,2031,都賀カンツリー倶楽部,東,右グリーン,レギュラー,2020.06.23,西,右グリーン,レギュラー,2020.06.23,72,6123,69.0,121
88,2032,2032,都賀カンツリー倶楽部,東,右グリーン,フロント1,2020.06.23,西,右グリーン,フロント1,2020.06.23,72,5679,66.7,117
89,2033,2033,都賀カンツリー倶楽部,東,右グリーン,フロント2,2020.06.23,西,右グリーン,フロント2,2020.06.23,72,4876,63.0,106
90,2034,2034,都賀カンツリー倶楽部,東,左グリーン,バック,2020.06.23,西,左グリーン,バック,2020.06.23,72,6441,70.5,123
91,2035,2035,都賀カンツリー倶楽部,東,左グリーン,レギュラー,2020.06.23,西,左グリーン,レギュラー,2020.06.23,72,6207,69.4,121
92,2036,2036,都賀カンツリー倶楽部,東,左グリーン,フロント1,2020.06.23,西,左グリーン,フロント1,2020.06.23,72,5763,67.2,118
93,2037,2037,都賀カンツリー倶楽部,東,左グリーン,フロント2,2020.06.23,西,左グリーン,フロント2,2020.06.23,72,4960,63.4,107
98,7627,7627,相生カントリー倶楽部,OUT,コーライ,バック,1981.12.11,IN,コーライ,バック,1981.12.11,72,6067,68.4,120
99,7628,7628,相生カントリー倶楽部,OUT,コーライ,レギュラー,1981.12.11,IN,コーライ,レギュラー,1981.12.11,72,5739,66.9,116
100,1813,1813,喜連川カントリー倶楽部,南,ベント,バック,2015.09.25,東,ベント,バック,2015.09.25,72,6896,72.6,126
101,1814,1814,喜連川カントリー倶楽部,南,ベント,レギュラー,2015.09.25,東,ベント,レギュラー,2015.09.25,72,6313,69.9,119
102,1815,1815,喜連川カントリー倶楽部,南,ベント,フロント1,2015.09.25,東,ベント,フロント1,2015.09.25,72,5281,65.0,106
103,1816,1816,喜連川カントリー倶楽部,東,ベント,バック,2015.09.25,西,ベント,バック,2015.09.25,72,6820,72.2,126
104,1817,1817,喜連川カントリー倶楽部,東,ベント,レギュラー,2015.09.25,西,ベント,レギュラー,2015.09.25,72,6290,69.7,119
105,1818,1818,喜連川カントリー倶楽部,東,ベント,フロント1,2015.09.25,西,ベント,フロント1,2015.09.25,72,5382,65.5,107
106,1819,1819,喜連川カントリー倶楽部,西,ベント,バック,2015.09.25,南,ベント,バック,2015.09.25,72,6916,72.8,128
107,1820,1820,喜連川カントリー倶楽部,西,ベント,レギュラー,2015.09.25,南,ベント,レギュラー,2015.09.25,72,6337,70.0,122
108,1821,1821,喜連川カントリー倶楽部,西,ベント,フロント1,2015.09.25,南,ベント,フロント1,2015.09.25,72,5315,65.3,109
127,4683,4683,那谷寺カントリー倶楽部,東,ベント,バック,2012.10.05,中,ベント,バック,2012.10.05,72,6458,71.5,123
128,4684,4684,那谷寺カントリー倶楽部,東,ベント,レギュラー,2012.10.05,中,ベント,レギュラー,2012.10.05,72,5963,69.1,122
129,4685,4685,那谷寺カントリー倶楽部,東,ベント,フロント,2012.10.05,中,ベント,フロント,2012.10.05,72,5875,68.6,121
130,4686,4686,那谷寺カントリー倶楽部,東,ベント,レディス,2012.10.05,中,ベント,レディス,2012.10.05,72,5005,64.6,112
131,6903,6903,近江カントリー倶楽部,OUT,ベント,バック,2017.03.30,IN,ベント,バック,2017.03.30,72,6800,73.1,137
132,6904,6904,近江カントリー倶楽部,OUT,ベント,レギュラー,2017.03.30,IN,ベント,レギュラー,2017.03.30,72,6416,71.4,134
133,6905,6905,近江カントリー倶楽部,OUT,ベント,フロント,2017.03.30,IN,ベント,フロント,2017.03.30,72,6194,70.3,131
134,6906,6906,近江カントリー倶楽部,OUT,ベント,ゴールド,2017.03.30,IN,ベント,ゴールド,2017.03.30,72,5288,66.2,124
135,7493,7493,岸和田カントリー倶楽部,梅,ベント,バック,1979.07.01,松,ベント,バック,1979.07.01,72,6301,69.3,123
136,7494,7494,岸和田カントリー倶楽部,梅,ベント,レギュラー,1979.07.01,松,ベント,レギュラー,1979.07.01,72,6157,68.6,121
137,7495,7495,岸和田カントリー倶楽部,松,ベント,バック,1979.07.01,竹,ベント,バック,1979.07.01,72,6492,70.3,126
138,7496,7496,岸和田カントリー倶楽部,松,ベント,レギュラー_,1979.07.01,竹,ベント,レギュラー_,1979.07.01,72,6329,69.4,123
139,7497,7497,岸和田カントリー倶楽部,竹,ベント,バック,1979.07.01,梅,ベント,バック,1979.07.01,72,6445,70.0,125
140,7498,7498,岸和田カントリー倶楽部,竹,ベント,レギュラー,1979.07.01,梅,ベント,レギュラー,1979.07.01,72,6296,69.2,123
141,7693,7693,淡路カントリー倶楽部,OUT,ベント,バック,2007.04.04,IN,ベント,バック,2007.04.04,72,6760,72.4,132
142,7694,7694,淡路カントリー倶楽部,OUT,ベント,レギュラー,2007.04.04,IN,ベント,レギュラー,2007.04.04,72,6476,71.1,128
143,7695,7695,淡路カントリー倶楽部,OUT,ベント,フロント,2007.04.04,IN,ベント,フロント,2007.04.04,72,6201,69.8,124
144,7696,7696,淡路カントリー倶楽部,OUT,ベント,ゴールド,2007.04.04,IN,ベント,ゴールド,2007.04.04,72,5594,67.0,117
145,7697,7697,淡路カントリー倶楽部,OUT,ベント,レディース,2007.04.04,IN,ベント,レディース,2007.04.04,72,5287,65.6,114
146,4185,4185,下田城カントリー倶楽部,OUT,ベント,チャンピオン,2021.10.25,IN,ベント,チャンピオン,2021.10.25,72,7113,73.2,128
147,4186,4186,下田城カントリー倶楽部,OUT,ベント,バック,2021.10.25,IN,ベント,バック,2021.10.25,72,6672,71.2,124
148,4187,4187,下田城カントリー倶楽部,OUT,ベント,レギュラー,2021.10.25,IN,ベント,レギュラー,2021.10.25,72,6273,69.4,120
149,4188,4188,下田城カントリー倶楽部,OUT,ベント,フロント,2021.10.25,IN,ベント,フロント,2021.10.25,72,4638,61.9,106
158,5413,5413,大垣カントリー倶楽部,OUT,メイン,バック,2010.12.28,IN,メイン,バック,2010.12.28,72,6526,72.0,141
159,5414,5414,大垣カントリー倶楽部,OUT,メイン,レギュラー,2010.12.28,IN,メイン,レギュラー,2010.12.28,72,6012,69.8,136
160,5427,5427,岐阜カンツリー倶楽部,OUT,ベント,ブルー,2017.08.10,IN,ベント,ブルー,2017.08.10,72,6809,73.6,139
161,5428,5428,岐阜カンツリー倶楽部,OUT,ベント,ホワイト,2017.08.10,IN,ベント,ホワイト,2017.08.10,72,6404,71.6,139
162,5429,5429,岐阜カンツリー倶楽部,OUT,ベント,イエロー,2017.08.10,IN,ベント,イエロー,2017.08.10,72,5876,68.8,130
163,5430,5430,岐阜カンツリー倶楽部,OUT,ベント,レッド,2017.08.10,IN,ベント,レッド,2017.08.10,72,5314,66.3,123
164,5431,5431,岐阜カンツリー倶楽部,OUT,ベント,ピンク,2017.08.10,IN,ベント,ピンク,2017.08.10,72,4875,64.5,115
195,1584,1584,大日向カントリー倶楽部,西,Aグリーン,バック,2010.09.24,東,Aグリーン,バック,2010.09.24,72,6963,72.6,132
196,1585,1585,大日向カントリー倶楽部,西,Aグリーン,レギュラー,2010.09.24,東,Aグリーン,レギュラー,2010.09.24,72,6502,70.4,126
197,1586,1586,大日向カントリー倶楽部,西,Aグリーン,フロント1,2010.09.24,東,Aグリーン,フロント1,2010.09.24,72,6102,68.8,121
198,1587,1587,大日向カントリー倶楽部,西,Aグリーン,フロント2,2010.09.24,東,Aグリーン,フロント2,2010.09.24,72,5533,66.8,115
199,1588,1588,大日向カントリー倶楽部,西,Bグリーン,バック,2010.09.24,東,Bグリーン,バック,2010.09.24,72,6860,72.1,131
200,1589,1589,大日向カントリー倶楽部,西,Bグリーン,レギュラー,2010.09.24,東,Bグリーン,レギュラー,2010.09.24,72,6371,69.9,125
201,1590,1590,大日向カントリー倶楽部,西,Bグリーン,フロント1,2010.09.24,東,Bグリーン,フロント1_,2010.09.24,72,5999,68.5,121
202,1591,1591,大日向カントリー倶楽部,西,Bグリーン,フロント2,2010.09.24,東,Bグリーン,フロント2,2010.09.24,72,5430,66.4,114
203,1592,1592,大日向カントリー倶楽部,中,Aグリーン,バック,2010.09.24,西,Aグリーン,バック_,2010.09.24,72,7024,72.8,133
204,1593,1593,大日向カントリー倶楽部,中,Aグリーン,レギュラー,2010.09.24,西,Aグリーン,レギュラー_,2010.09.24,72,6591,70.8,128
205,1594,1594,大日向カントリー倶楽部,中,Aグリーン,フロント1,2010.09.24,西,Aグリーン,フロント1,2010.09.24,72,6107,68.9,122
206,1595,1595,大日向カントリー倶楽部,中,Aグリーン,フロント2,2010.09.24,西,Aグリーン,フロント2_,2010.09.24,72,5559,66.9,116
207,1596,1596,大日向カントリー倶楽部,中,Bグリーン,バック,2010.09.24,西,Bグリーン,バック,2010.09.24,72,6903,72.2,131
208,1597,1597,大日向カントリー倶楽部,中,Bグリーン,レギュラー,2010.09.24,西,Bグリーン,レギュラー_,2010.09.24,72,6470,70.1,125
209,1598,1598,大日向カントリー倶楽部,中,Bグリーン,フロント1,2010.09.24,西,Bグリーン,フロント1,2010.09.24,72,5986,68.3,120
210,1599,1599,大日向カントリー倶楽部,中,Bグリーン,フロント2,2010.09.24,西,Bグリーン,フロント2_,2010.09.24,72,5438,66.3,114
211,1600,1600,大日向カントリー倶楽部,東,Aグリーン,バック,2010.09.24,中,Aグリーン,バック,2010.09.24,72,6949,72.7,133
212,1601,1601,大日向カントリー倶楽部,東,Aグリーン,レギュラー,2010.09.24,中,Aグリーン,レギュラー,2010.09.24,72,6521,70.7,127
213,1602,1602,大日向カントリー倶楽部,東,Aグリーン,フロント1_,2010.09.24,中,Aグリーン,フロント1,2010.09.24,72,6167,69.2,123
214,1603,1603,大日向カントリー倶楽部,東,Aグリーン,フロント2,2010.09.24,中,Aグリーン,フロント2,2010.09.24,72,5596,67.1,116
215,1604,1604,大日向カントリー倶楽部,東,Bグリーン,バック,2010.09.24,中,Bグリーン,バック_,2010.09.24,72,6859,72.3,132
216,1605,1605,大日向カントリー倶楽部,東,Bグリーン,レギュラー_,2010.09.24,中,Bグリーン,レギュラー_,2010.09.24,72,6403,70.1,125
217,1606,1606,大日向カントリー倶楽部,東,Bグリーン,フロント1,2010.09.24,中,Bグリーン,フロント1_,2010.09.24,72,6077,68.8,121
218,1607,1607,大日向カントリー倶楽部,東,Bグリーン,フロント2,2010.09.24,中,Bグリーン,フロント2,2010.09.24,72,5506,66.8,115
219,8402,8402,作州武蔵カントリー倶楽部,播磨,ベント,バック,2020.07.10,美作,ベント,バック,2020.07.10,72,6830,73.3,138
220,8403,8403,作州武蔵カントリー倶楽部,播磨,ベント,レギュラー,2020.07.10,美作,ベント,レギュラー,2020.07.10,72,6501,71.9,134
221,8404,8404,作州武蔵カントリー倶楽部,播磨,ベント,フロント,2020.07.10,美作,ベント,フロント,2020.07.10,72,6175,70.3,132
222,8405,8405,作州武蔵カントリー倶楽部,播磨,ベント,ゴールド,2020.07.10,美作,ベント,ゴールド,2020.07.10,72,6024,69.7,130
223,8406,8406,作州武蔵カントリー倶楽部,播磨,ベント,レディース,2020.07.10,美作,ベント,レディース,2020.07.10,72,5497,67.2,126
224,8407,8407,作州武蔵カントリー倶楽部,美作,ベント,バック,2020.07.10,因幡,ベント,バック,2020.07.10,72,6916,73.5,140
225,8408,8408,作州武蔵カントリー倶楽部,美作,ベント,レギュラー,2020.07.10,因幡,ベント,レギュラー,2020.07.10,72,6589,72.1,136
226,8409,8409,作州武蔵カントリー倶楽部,美作,ベント,フロント,2020.07.10,因幡,ベント,フロント,2020.07.10,72,6256,70.4,134
227,8410,8410,作州武蔵カントリー倶楽部,美作,ベント,ゴールド,2020.07.10,因幡,ベント,ゴールド,2020.07.10,72,6121,69.9,132
228,8411,8411,作州武蔵カントリー倶楽部,美作,ベント,レディース,2020.07.10,因幡,ベント,レディース,2020.07.10,72,5524,67.1,127
229,8412,8412,作州武蔵カントリー倶楽部,因幡,ベント,バック,2020.07.10,播磨,ベント,バック,2020.07.10,72,6804,72.6,140
230,8413,8413,作州武蔵カントリー倶楽部,因幡,ベント,レギュラー,2020.07.10,播磨,ベント,レギュラー,2020.07.10,72,6476,71.2,137
231,8414,8414,作州武蔵カントリー倶楽部,因幡,ベント,フロント,2020.07.10,播磨,ベント,フロント,2020.07.10,72,6199,69.9,134
232,8415,8415,作州武蔵カントリー倶楽部,因幡,ベント,ゴールド,2020.07.10,播磨,ベント,ゴールド,2020.07.10,72,6129,69.8,133
233,8416,8416,作州武蔵カントリー倶楽部,因幡,ベント,レディース,2020.07.10,播磨,ベント,レディース,2020.07.10,72,5675,67.5,129
234,1278,1278,鹿島の杜カントリー倶楽部,OUT,ベント,バック,2014.11.11,IN,ベント,バック,2014.11.11,72,7730,77.6,131
235,1279,1279,鹿島の杜カントリー倶楽部,OUT,ベント,レギュラー,2014.11.11,IN,ベント,レギュラー,2014.11.11,72,7033,74.1,127
236,1280,1280,鹿島の杜カントリー倶楽部,OUT,ベント,フロント1,2014.11.11,IN,ベント,フロント1,2014.11.11,72,6505,71.4,125
237,1281,1281,鹿島の杜カントリー倶楽部,OUT,ベント,フロント2,2014.11.11,IN,ベント,フロント2,2014.11.11,72,5769,68.0,117
238,1282,1282,鹿島の杜カントリー倶楽部,OUT,ベント,レディース,2014.11.11,IN,ベント,レディース,2014.11.11,72,5015,64.5,108
239,8389,8389,倉敷カントリー倶楽部,OUT,ベント,フルバック,2019.06.20,IN,ベント,フルバック,2019.06.20,72,6763,73.3,140
240,8390,8390,倉敷カントリー倶楽部,OUT,ベント,バック,2019.06.20,IN,ベント,バック,2019.06.20,72,6419,71.7,137
241,8391,8391,倉敷カントリー倶楽部,OUT,ベント,レギュラー,2019.06.20,IN,ベント,レギュラー,2019.06.20,72,6128,70.3,134
242,8392,8392,倉敷カントリー倶楽部,OUT,ベント,フロント,2019.06.20,IN,ベント,フロント,2019.06.20,72,5227,66.5,125
243,8393,8393,倉敷カントリー倶楽部,OUT,ベント,レディース,2019.06.20,IN,ベント,レディース,2019.06.20,72,4871,64.5,121
250,5532,5532,新陽カントリー倶楽部,OUT,ベント,ブラック,2015.09.01,IN,ベント,ブラック,2015.09.01,72,7039,73.9,135
251,5533,5533,新陽カントリー倶楽部,OUT,ベント,ブルー,2015.09.01,IN,ベント,ブルー,2015.09.01,72,6550,71.7,131
252,5534,5534,新陽カントリー倶楽部,OUT,ベント,ホワイト,2015.09.01,IN,ベント,ホワイト,2015.09.01,72,5998,69.2,125
253,5535,5535,新陽カントリー倶楽部,OUT,ベント,レッド,2015.09.01,IN,ベント,レッド,2015.09.01,72,5092,65.1,117
254,1109,1109,棚倉田舎倶楽部,東,ベント,BT,2018.09.03,西,ベント,BT,2018.09.03,72,7127,73.9,136
255,1110,1110,棚倉田舎倶楽部,東,ベント,RT,2018.09.03,西,ベント,RT,2018.09.03,72,6544,71.0,128
256,1111,1111,棚倉田舎倶楽部,東,ベント,FT1/LT1,2018.09.03,西,ベント,FT1/LT1,2018.09.03,72,6158,69.3,124
257,1112,1112,棚倉田舎倶楽部,東,ベント,LT2,2018.09.03,西,ベント,LT2,2018.09.03,72,5203,64.5,110
258,1113,1113,棚倉田舎倶楽部,中,ベント,BT,2018.09.03,東,ベント,BT,2018.09.03,72,7063,73.8,135
259,1114,1114,棚倉田舎倶楽部,中,ベント,RT,2018.09.03,東,ベント,RT,2018.09.03,72,6433,70.7,128
260,1115,1115,棚倉田舎倶楽部,中,ベント,FT1/LT1,2018.09.03,東,ベント,FT1/LT1,2018.09.03,72,6080,69.2,123
261,1116,1116,棚倉田舎倶楽部,中,ベント,LT2,2018.09.03,東,ベント,LT2,2018.09.03,72,5201,64.6,112
262,1117,1117,棚倉田舎倶楽部,西,ベント,BT,2018.09.03,中,ベント,BT,2018.09.03,72,7044,73.7,135
263,1118,1118,棚倉田舎倶楽部,西,ベント,RT,2018.09.03,中,ベント,RT,2018.09.03,72,6561,71.3,129
264,1119,1119,棚倉田舎倶楽部,西,ベント,FT1/LT1,2018.09.03,中,ベント,FT1/LT1,2018.09.03,72,6246,69.7,126
265,1120,1120,棚倉田舎倶楽部,西,ベント,LT2,2018.09.03,中,ベント,LT2,2018.09.03,72,5272,64.9,111
266,10718,10718,高千穂カントリー倶楽部,OUT,ベント(メイン),バック,2012.11.29,IN,ベント(メイン),バック,2012.11.29,72,6797,72.1,136
267,10719,10719,高千穂カントリー倶楽部,OUT,ベント(メイン),レギュラー,2012.11.29,IN,ベント(メイン),レギュラー,2012.11.29,72,6387,70.2,132
268,10720,10720,高千穂カントリー倶楽部,OUT,ベント(メイン),フロント,2012.11.29,IN,ベント(メイン),フロント,2012.11.29,72,5942,68.2,127
269,10721,10721,高千穂カントリー倶楽部,OUT,ベント(サブ),バック,2012.11.29,IN,ベント(サブ),バック,2012.11.29,72,6437,70.3,131
270,10722,10722,高千穂カントリー倶楽部,OUT,ベント(サブ),レギュラー,2012.11.29,IN,ベント(サブ),レギュラー,2012.11.29,72,6017,68.4,127
271,10723,10723,高千穂カントリー倶楽部,OUT,ベント(サブ),フロント,2012.11.29,IN,ベント(サブ),フロント,2012.11.29,72,5567,66.4,122
