,Unnamed: 0,コース１,コース１.1,コース１.2,コース１.3,コース2,コース2.1,コース2.2,コース2.3,Par,Yards,CourseRating,SlopeRating
28,旭川メモリアルカントリークラブ,OUT,ベント,レディース,2016.08.27,IN,ベント,レディース,2016.08.27,72,4936,69.5,122
29,安平ゴルフ倶楽部,OUT,ベント,レギュラー,2010.07.02,IN,ベント,レギュラー,2010.07.02,72,6196,75.0,129
30,安平ゴルフ倶楽部,OUT,ベント,フロント,2010.08.16,IN,ベント,フロント,2010.08.16,72,5613,71.6,120
31,石狩平原カントリークラブ,中,ベント,バック,2015.04.22,西,ベント,バック,2015.04.22,72,6291,76.0,137
32,石狩平原カントリークラブ,中,ベント,レギュラー,2015.04.22,西,ベント,レギュラー,2015.04.22,72,5807,73.8,133
33,石狩平原カントリークラブ,中,ベント,フロント,2015.04.22,西,ベント,フロント,2015.04.22,72,5410,71.1,127
34,石狩平原カントリークラブ,中,ベント,レディース,2015.04.22,西,ベント,レディース,2015.04.22,72,4800,67.7,120
35,石狩平原カントリークラブ,西,ベント,バック,2015.04.22,南,ベント,バック,2015.04.22,72,6561,77.9,144
36,石狩平原カントリークラブ,西,ベント,レギュラー,2015.04.22,南,ベント,レギュラー,2015.04.22,72,6146,75.7,139
37,石狩平原カントリークラブ,西,ベント,フロント,2015.04.22,南,ベント,フロント,2015.04.22,72,5563,72.4,132
38,石狩平原カントリークラブ,西,ベント,レディース,2015.04.22,南,ベント,レディース,2015.04.22,72,4769,68.0,123
39,石狩平原カントリークラブ,南,ベント,バック,2015.04.22,中,ベント,バック,2015.04.22,72,6420,77.3,142
40,石狩平原カントリークラブ,南,ベント,レギュラー,2015.04.22,中,ベント,レギュラー,2015.04.22,72,5927,75.1,137
41,石狩平原カントリークラブ,南,ベント,フロント,2015.04.22,中,ベント,フロント,2015.04.22,72,5553,72.5,132
42,石狩平原カントリークラブ,南,ベント,レディース,2015.04.22,中,ベント,レディース,2015.04.22,72,4649,67.5,122
43,恵庭カントリー倶楽部,支笏,ベント,チャンピオン,2018.10.18,阿寒,ベント,チャンピオン,2018.10.18,72,7283,82.0,148
44,恵庭カントリー倶楽部,支笏,ベント,バック,2018.10.18,阿寒,ベント,バック,2018.10.18,72,7047,80.7,144
45,恵庭カントリー倶楽部,支笏,ベント,レギュラー,2018.10.18,阿寒,ベント,レギュラー,2018.10.18,72,6424,77.1,137
46,恵庭カントリー倶楽部,支笏,ベント,フロント,2018.10.18,阿寒,ベント,フロント,2018.10.18,72,5897,74.2,131
47,恵庭カントリー倶楽部,支笏,ベント,レディース,2018.10.18,阿寒,ベント,レディース,2018.10.18,72,5533,72.2,127
48,恵庭カントリー倶楽部,阿寒,ベント,チャンピオン,2018.10.18,摩周,ベント,チャンピオン,2018.10.18,72,7321,81.9,143
49,恵庭カントリー倶楽部,阿寒,ベント,バック,2018.10.18,摩周,ベント,バック,2018.10.18,72,6977,80.0,139
50,恵庭カントリー倶楽部,阿寒,ベント,レギュラー,2018.10.18,摩周,ベント,レギュラー,2018.10.18,72,6406,76.7,133
51,恵庭カントリー倶楽部,阿寒,ベント,フロント,2018.10.18,摩周,ベント,フロント,2018.10.18,72,5855,73.6,126
52,恵庭カントリー倶楽部,阿寒,ベント,レディース,2018.10.18,摩周,ベント,レディース,2018.10.18,72,5411,71.2,121
53,恵庭カントリー倶楽部,摩周,ベント,チャンピオン,2018.10.18,支笏,ベント,チャンピオン,2018.10.18,72,7178,81.3,145
54,恵庭カントリー倶楽部,摩周,ベント,バック,2018.10.18,支笏,ベント,バック,2018.10.18,72,6938,79.9,142
55,恵庭カントリー倶楽部,摩周,ベント,レギュラー,2018.10.18,支笏,ベント,レギュラー,2018.10.18,72,6422,77.0,136
56,恵庭カントリー倶楽部,摩周,ベント,フロント,2018.10.18,支笏,ベント,フロント,2018.10.18,72,5990,74.6,131
57,恵庭カントリー倶楽部,摩周,ベント,レディース,2018.10.18,支笏,ベント,レディース,2018.10.18,72,5554,72.2,126
58,エバーグリーンゴルフ倶楽部,OUT,ベント,バック,2015.10.28,IN,ベント,バック,2015.10.28,72,6740,78.4,143
59,エバーグリーンゴルフ倶楽部,OUT,ベント,レギュラー,2015.10.28,IN,ベント,レギュラー,2015.10.28,72,6364,76.4,138
60,エバーグリーンゴルフ倶楽部,OUT,ベント,フロント,2015.10.28,IN,ベント,フロント,2015.10.28,72,5969,74.2,134
61,エバーグリーンゴルフ倶楽部,OUT,ベント,ゴールド,2015.10.28,IN,ベント,ゴールド,2015.10.28,72,5574,72.0,129
62,エバーグリーンゴルフ倶楽部,OUT,ベント,オレンジ,2015.10.28,IN,ベント,オレンジ,2015.10.28,72,5385,70.9,127
63,エバーグリーンゴルフ倶楽部,OUT,ベント,エバー,2020.09.04,IN,ベント,エバー,2020.09.04,72,4559,66.3,118
64,エミナゴルフクラブ,東OUT,ベント,バック,2019.10.21,東イン,ベント,バック,2019.10.21,72,7051,81.1,147
65,エミナゴルフクラブ,東OUT,ベント,レギュラー,2019.10.21,東イン,ベント,レギュラー,2019.10.21,72,6426,77.6,139
66,エミナゴルフクラブ,東OUT,ベント,フロント,2019.10.21,東イン,ベント,フロント,2019.10.21,72,5903,74.7,133
67,エミナゴルフクラブ,南OUT,ベント,バック,2019.10.17,南イン,ベント,バック,2019.10.17,72,6852,79.2,142
68,エミナゴルフクラブ,南OUT,ベント,レギュラー,2019.10.17,南イン,ベント,レギュラー,2019.10.17,72,6344,76.4,136
69,エミナゴルフクラブ,南OUT,ベント,フロント,2019.10.17,南イン,ベント,フロント,2019.10.17,72,5757,73.1,129
70,エミナゴルフクラブ,西OUT,ベント,バック,2019.11.06,西イン,ベント,バック,2019.11.06,72,6877,79.7,140
71,エミナゴルフクラブ,西OUT,ベント,レギュラー,2019.11.06,西イン,ベント,レギュラー,2019.11.06,72,6503,77.6,136
72,エミナゴルフクラブ,西OUT,ベント,フロント,2019.11.06,西イン,ベント,フロント,2019.11.06,72,6161,75.8,131
73,エミナゴルフクラブ,西OUT,ベント,レディース,2019.11.06,西イン,ベント,レディース,2019.11.06,72,5187,70.3,120
74,エムアール茨戸カントリークラブ,OUT,ベント,バック,2020.06.23,IN,ベント,バック,2020.06.23,72,6817,79.0,141
75,エムアール茨戸カントリークラブ,OUT,ベント,レギュラー,2020.06.23,IN,ベント,レギュラー,2020.06.23,72,6356,76.5,136
76,エムアール茨戸カントリークラブ,OUT,ベント,フロント,2020.06.23,IN,ベント,フロント,2020.06.23,72,5708,72.9,128
77,エムアール茨戸カントリークラブ,OUT,ベント,レディース,2020.06.23,IN,ベント,レディース,2020.06.23,72,5329,70.8,124
78,エムズゴルフクラブ,OUT,ベント,バック,2016.09.23,IN,ベント,バック,2016.09.23,72,6929,79.7,143
79,エムズゴルフクラブ,OUT,ベント,レギュラー,2016.09.23,IN,ベント,レギュラー,2016.09.23,72,6481,77.2,138
80,エムズゴルフクラブ,OUT,ベント,フロント,2016.09.23,IN,ベント,フロント,2016.09.23,72,6030,74.7,133
81,エムズゴルフクラブ,OUT,ベント,レディース,2016.09.23,IN,ベント,レディース,2016.09.23,72,5183,70.0,123
82,エーヴランドゴルフクラブ,OUT,ベント,バック,2017.06.14,IN,ベント,バック,2017.06.14,72,6955,80.3,142
83,エーヴランドゴルフクラブ,OUT,ベント,レギュラー1,2017.06.14,IN,ベント,レギュラー1,2017.06.14,72,6455,77.5,136
84,エーヴランドゴルフクラブ,OUT,ベント,レディース,2017.06.14,IN,ベント,レディース,2017.06.14,72,5251,70.8,124
85,大沼国際カントリークラブ,OUT,ベント,バック,2015.05.23,IN,ベント,バック,2015.05.23,72,7130,81.2,148
86,大沼国際カントリークラブ,OUT,ベント,レギュラー,2015.05.23,IN,ベント,レギュラー,2015.05.23,72,6710,78.9,144
87,大沼国際カントリークラブ,OUT,ベント,フロント,2015.05.23,IN,ベント,フロント,2015.05.23,72,6549,78.0,142
88,大沼国際カントリークラブ,OUT,ベント,レディース,2015.05.23,IN,ベント,レディース,2015.05.23,72,5643,72.9,131
89,大沼レイクゴルフクラブ,大沼,ベント,バック,2014.05.23,小沼,ベント,バック,2014.05.23,72,7000,80.9,147
90,大沼レイクゴルフクラブ,大沼,ベント,レギュラー,2014.05.23,小沼,ベント,レギュラー,2014.05.23,72,6577,78.6,142
91,大沼レイクゴルフクラブ,大沼,ベント,フロント,2014.05.23,小沼,ベント,フロント,2014.05.23,72,5999,75.3,135
92,大沼レイクゴルフクラブ,大沼,ベント,レディース,2014.05.23,小沼,ベント,レディース,2014.05.23,72,5380,71.9,128
93,大沼レイクゴルフクラブ,小沼,ベント,バック,2014.05.23,駒ケ岳,ベント,バック,2014.05.23,72,7011,80.8,148
94,大沼レイクゴルフクラブ,小沼,ベント,レギュラー,2014.05.23,駒ケ岳,ベント,レギュラー,2014.05.23,72,6512,78.1,142
95,大沼レイクゴルフクラブ,小沼,ベント,フロント,2014.05.23,駒ケ岳,ベント,フロント,2014.05.23,72,5861,74.4,134
96,大沼レイクゴルフクラブ,小沼,ベント,レディース,2014.05.23,駒ケ岳,ベント,レディース,2014.05.23,72,5218,70.8,127
97,大沼レイクゴルフクラブ,駒ケ岳,ベント,バック,2014.05.23,大沼,ベント,バック,2014.05.23,72,6789,79.5,144
98,大沼レイクゴルフクラブ,駒ケ岳,ベント,レギュラー,2014.05.23,大沼,ベント,レギュラー,2014.05.23,72,6347,77.1,139
99,大沼レイクゴルフクラブ,駒ケ岳,ベント,フロント,2014.05.23,大沼,ベント,フロント,2014.05.23,72,5750,73.7,132
100,大沼レイクゴルフクラブ,駒ケ岳,ベント,レディース,2014.05.23,大沼,ベント,レディース,2014.05.23,72,5246,70.9,126
101,小樽カントリー倶楽部,新OUT,ベント,チャンピオン,2017.10.27,新イン,ベント(右),チャンピオン,2017.10.27,72,7467,83.4,153
102,小樽カントリー倶楽部,新OUT,ベント,バック,2017.10.27,新イン,ベント(右),バック,2017.10.27,72,6946,80.4,147
103,小樽カントリー倶楽部,新OUT,ベント,レギュラー,2017.10.27,新イン,ベント(右),レギュラー,2017.10.27,72,6526,78.1,142
104,小樽カントリー倶楽部,新OUT,ベント,フロント,2017.10.27,新イン,ベント(右),フロント,2017.10.27,72,6174,76.2,138
105,小樽カントリー倶楽部,新OUT,ベント,チャンピオン,2017.10.27,新イン,ベント(左),チャンピオン,2017.10.27,72,7427,83.2,153
106,小樽カントリー倶楽部,新OUT,ベント,バック,2017.10.27,新イン,ベント(左),バック,2017.10.27,72,6908,80.3,147
107,小樽カントリー倶楽部,新OUT,ベント,レギュラー,2017.10.27,新イン,ベント(左),レギュラー,2017.10.27,72,6487,77.9,142
108,小樽カントリー倶楽部,新OUT,ベント,フロント,2017.10.27,新イン,ベント(左),フロント,2017.10.27,72,6135,76.0,138
109,小樽カントリー倶楽部,旧OUT,ベント,レギュラー,2021.05.07,旧イン,ベント,レギュラー,2021.05.07,72,6232,76.6,138
110,帯広カントリークラブ(新嵐山コース),OUT,ベント,バック,2014.05.22,IN,ベント,バック,2014.05.22,72,6910,80.1,145
111,帯広カントリークラブ(新嵐山コース),OUT,ベント,レギュラー,2014.05.22,IN,ベント,レギュラー,2014.05.22,72,6420,77.4,138
112,帯広カントリークラブ(新嵐山コース),OUT,ベント,フロント,2014.05.22,IN,ベント,フロント,2014.05.22,72,6090,75.6,135
113,帯広カントリークラブ(新嵐山コース),OUT,ベント,レディース/ゴールド,2014.05.22,IN,ベント,レディース/ゴールド,2014.05.22,72,5260,71.0,125
114,帯広国際カントリークラブ,東,ベント,バック,2013.05.24,中,ベント,バック,2013.05.24,72,6877,79.8,147
115,帯広国際カントリークラブ,東,ベント,レギュラー,2013.05.24,中,ベント,レギュラー,2013.05.24,72,6430,77.3,142
116,帯広国際カントリークラブ,東,ベント,レディース,2013.05.24,中,ベント,レディース,2013.05.24,72,5758,73.5,134
117,帯広国際カントリークラブ,中,ベント,バック,2013.05.24,西,ベント,バック,2013.05.24,72,6467,77.8,146
118,帯広国際カントリークラブ,中,ベント,レギュラー,2013.05.24,西,ベント,レギュラー,2013.05.24,72,6124,75.9,142
119,帯広国際カントリークラブ,中,ベント,レディース,2013.05.24,西,ベント,レディース,2013.05.24,72,5542,72.6,135
120,帯広国際カントリークラブ,西,ベント,バック,2013.05.24,東,ベント,バック,2013.05.24,72,6654,78.8,148
121,帯広国際カントリークラブ,西,ベント,レギュラー,2013.05.24,東,ベント,レギュラー,2013.05.24,72,6262,76.6,143
122,帯広国際カントリークラブ,西,ベント,レディース,2013.05.24,東,ベント,レディース,2013.05.24,72,5504,72.3,134
123,帯広白樺カントリークラブ,桜OUT,ベント,Back,2015.08.29,桜イン,ベント,Back,2015.08.29,72,6764,79.1,138
124,帯広白樺カントリークラブ,桜OUT,ベント,Regular,2015.08.29,桜イン,ベント,Regular,2015.08.29,72,6320,76.7,134
125,帯広白樺カントリークラブ,桜OUT,ベント,Senior,2015.08.29,桜イン,ベント,Senior,2015.08.29,72,6052,75.2,131
126,帯広白樺カントリークラブ,桜OUT,ベント,Ladies,2015.08.29,桜イン,ベント,Ladies,2015.08.29,72,5473,72.0,124
127,帯広白樺カントリークラブ,桜ミックス(旧),ベント,Back,2015.08.29,白樺OUT,ベント,Back,2015.08.29,72,6751,79.1,141
128,帯広白樺カントリークラブ,桜ミックス(旧),ベント,Regular,2015.08.29,白樺OUT,ベント,Regular,2015.08.29,72,6262,76.4,136
129,帯広白樺カントリークラブ,桜ミックス(旧),ベント,Senior,2015.08.29,白樺OUT,ベント,Senior,2015.08.29,72,5860,74.2,131
130,帯広白樺カントリークラブ,桜ミックス(旧),ベント,Ladies,2015.08.29,白樺OUT,ベント,Ladies,2015.08.29,72,5460,72.0,126
131,帯広白樺カントリークラブ,桜ミックス(旧),ベント,Back,2015.08.29,白樺イン,ベント,Back,2015.08.29,72,6511,77.7,139
132,帯広白樺カントリークラブ,桜ミックス(旧),ベント,Regular,2015.08.29,白樺イン,ベント,Regular,2015.08.29,72,6097,75.4,134
133,帯広白樺カントリークラブ,桜ミックス(旧),ベント,Senior,2015.08.29,白樺イン,ベント,Senior,2015.08.29,72,5806,73.8,130
134,帯広白樺カントリークラブ,桜ミックス(旧),ベント,Ladies,2015.08.29,白樺イン,ベント,Ladies,2015.08.29,72,5391,71.5,126
135,帯広白樺カントリークラブ,白樺OUT,ベント,Back,2015.08.29,白樺イン,ベント,Back,2015.08.29,72,6332,76.8,138
136,帯広白樺カントリークラブ,白樺OUT,ベント,Regular,2015.08.29,白樺イン,ベント,Regular,2015.08.29,72,5919,74.6,133
137,帯広白樺カントリークラブ,白樺OUT,ベント,Senior,2015.08.29,白樺イン,ベント,Senior,2015.08.29,72,5722,73.2,132
138,帯広白樺カントリークラブ,白樺OUT,ベント,Ladies,2015.08.29,白樺イン,ベント,Ladies,2015.08.29,72,5237,70.7,126
139,オホーツクカントリークラブ,OUT,ベント,バック,2015.05.29,IN,ベント,バック,2015.05.29,71,6598,79.0,134
140,オホーツクカントリークラブ,OUT,ベント,レギュラー,2015.05.29,IN,ベント,レギュラー,2015.05.29,71,6115,76.3,129
141,オホーツクカントリークラブ,OUT,ベント,フロント1,2015.05.29,IN,ベント,フロント1,2015.05.29,71,5751,74.3,125
142,温根湯国際カントリークラブ,OUT,ベント,バック,2015.04.27,IN,ベント,バック,2015.04.27,72,6921,79.8,143
143,温根湯国際カントリークラブ,OUT,ベント,レギュラー,2015.04.27,IN,ベント,レギュラー,2015.04.27,72,6391,76.9,136
144,温根湯国際カントリークラブ,OUT,ベント,フロント,2015.04.27,IN,ベント,フロント,2015.04.27,72,6208,75.8,133
145,温根湯国際カントリークラブ,OUT,ベント,レディース,2015.04.27,IN,ベント,レディース,2015.04.27,72,5101,69.7,121
146,桂ゴルフ倶楽部,OUT,ベント,チャンピオン,2016.08.03,IN,ベント,チャンピオン,2016.08.03,72,7116,81.7,150
147,桂ゴルフ倶楽部,OUT,ベント,バック,2016.08.03,IN,ベント,バック,2016.08.03,72,6495,78.3,144
148,桂ゴルフ倶楽部,OUT,ベント,レギュラー,2016.08.03,IN,ベント,レギュラー,2016.08.03,72,6093,76.0,139
149,桂ゴルフ倶楽部,OUT,ベント,フロント,2016.08.03,IN,ベント,フロント,2016.08.03,72,5642,73.5,132
150,桂ゴルフ倶楽部,OUT,ベント,レディース,2016.08.03,IN,ベント,レディース,2016.08.03,72,5367,72.0,130
151,上士幌ゴルフ場,チャンピオンズ・OUT,ベント,ブルー,2014.07.14,チャンピオンズ・IN,ベント,ブルー,2014.07.14,72,6919,80.6,150
152,上士幌ゴルフ場,チャンピオンズ・OUT,ベント,オレンジ,2014.07.14,チャンピオンズ・IN,ベント,オレンジ,2014.07.14,72,6538,78.4,145
153,上士幌ゴルフ場,チャンピオンズ・OUT,ベント,ホワイト,2014.07.14,チャンピオンズ・IN,ベント,ホワイト,2014.07.14,72,6138,76.2,141
154,上士幌ゴルフ場,チャンピオンズ・OUT,ベント,レッド,2014.07.14,チャンピオンズ・IN,ベント,レッド,2014.07.14,72,5206,71.0,131
155,上士幌ゴルフ場,マスターズ・OUT,ベント,ブルー,2015.03.09,マスターズ・IN,ベント,ブルー,2015.03.09,72,6567,77.7,146
156,上士幌ゴルフ場,マスターズ・OUT,ベント,オレンジ,2015.03.09,マスターズ・IN,ベント,オレンジ,2015.03.09,72,6152,75.4,141
157,上士幌ゴルフ場,マスターズ・OUT,ベント,ホワイト,2015.03.09,マスターズ・IN,ベント,ホワイト,2015.03.09,72,5815,73.5,137
158,上士幌ゴルフ場,マスターズ・OUT,ベント,レッド,2015.03.09,マスターズ・IN,ベント,レッド,2015.03.09,72,4970,68.7,128
159,上湧別リバーサイドゴルフ場,OUT,ベント,バック,2014.08.30,IN,ベント,バック,2014.08.30,72,6906,79.5,144
160,上湧別リバーサイドゴルフ場,OUT,ベント,レギュラー,2014.08.30,IN,ベント,レギュラー,2014.08.30,72,6576,77.6,140
161,上湧別リバーサイドゴルフ場,OUT,ベント,フロント1,2014.08.30,IN,ベント,フロント1,2014.08.30,72,6215,75.6,136
162,上湧別リバーサイドゴルフ場,OUT,ベント,フロント2,2014.08.30,IN,ベント,フロント2,2014.08.30,72,5453,71.3,127
163,北見カントリークラブ,OUT,ベント,バック,2012.05.19,IN,ベント,バック,2012.05.19,72,6536,78.5,138
164,北見カントリークラブ,OUT,ベント,レギュラー,2012.05.19,IN,ベント,レギュラー,2012.05.19,72,6179,76.5,134
165,北見カントリークラブ,OUT,ベント,フロント,2012.05.19,IN,ベント,フロント,2012.05.19,72,5140,70.7,122
166,北見ハーブヒルゴルフクラブ,OUT,ベント,バック,2012.05.18,IN,ベント,バック,2012.05.18,72,6719,79.2,136
167,北見ハーブヒルゴルフクラブ,OUT,ベント,レギュラー1,2012.05.18,IN,ベント,レギュラー1,2012.05.18,72,6230,76.5,131
168,北見ハーブヒルゴルフクラブ,OUT,ベント,レギュラー2,2012.05.18,IN,ベント,レギュラー2,2012.05.18,72,6134,76.0,130
169,北見ハーブヒルゴルフクラブ,OUT,ベント,レディース,2012.05.18,IN,ベント,レディース,2012.05.18,72,5480,72.4,122
170,釧路カントリークラブ,鶴居西OUT,ベント,レギュラー,2013.08.29,鶴居西イン,ベント,レギュラー,2013.08.29,72,6573,78.4,140
171,釧路カントリークラブ,鶴居西OUT,ベント,フロント1,2013.08.29,鶴居西イン,ベント,フロント1,2013.08.29,72,5857,74.4,132
172,釧路カントリークラブ,鶴居東OUT,ベント,レギュラー,2013.09.23,鶴居東イン,ベント,レギュラー,2013.09.23,72,6527,77.8,139
173,釧路カントリークラブ,鶴居東OUT,ベント,フロント1,2013.09.23,鶴居東イン,ベント,フロント1,2013.09.23,72,5631,72.8,129
174,釧路カントリークラブ,鶴居東OUT,ベント,フロント2,2013.09.23,鶴居東イン,ベント,フロント2,2013.09.23,72,5203,70.4,124
175,釧路風林カントリークラブ,A(信玄),ベント,バック,2014.05.24,B(川中島),ベント,バック,2014.05.24,72,6619,78.8,138
176,釧路風林カントリークラブ,A(信玄),ベント,レギュラー,2014.05.24,B(川中島),ベント,レギュラー,2014.05.24,72,6313,77.1,134
177,釧路風林カントリークラブ,A(信玄),ベント,フロント・ゴールド,2014.05.24,B(川中島),ベント,フロント・ゴールド,2014.05.24,72,5596,73.1,126
178,釧路風林カントリークラブ,A(信玄),ベント,ピンク,2014.05.24,B(川中島),ベント,ピンク,2014.05.24,72,5134,70.5,120
179,釧路風林カントリークラブ,B(川中島),ベント,バック,2014.05.24,C(謙信),ベント,バック,2014.05.24,72,6721,78.9,140
180,釧路風林カントリークラブ,B(川中島),ベント,レギュラー,2014.05.24,C(謙信),ベント,レギュラー,2014.05.24,72,6386,77.1,135
181,釧路風林カントリークラブ,B(川中島),ベント,フロント・ゴールド,2014.05.24,C(謙信),ベント,フロント・ゴールド,2014.05.24,72,5667,73.1,127
182,釧路風林カントリークラブ,B(川中島),ベント,ピンク,2014.05.24,C(謙信),ベント,ピンク,2014.05.24,72,5210,70.6,122
183,釧路風林カントリークラブ,C(謙信),ベント,バック,2014.05.24,A(信玄),ベント,バック,2014.05.24,72,6804,79.1,139
184,釧路風林カントリークラブ,C(謙信),ベント,レギュラー,2014.05.24,A(信玄),ベント,レギュラー,2014.05.24,72,6433,77.0,134
185,釧路風林カントリークラブ,C(謙信),ベント,フロント・ゴールド,2014.05.24,A(信玄),ベント,フロント・ゴールド,2014.05.24,72,5709,73.0,126
186,釧路風林カントリークラブ,C(謙信),ベント,ピンク,2014.05.24,A(信玄),ベント,ピンク,2014.05.24,72,5264,70.5,121
187,クラークカントリークラブ,西,ベント,バック,2021.09.29,東,ベント,バック,2021.09.29,72,6949,81.7,145
188,クラークカントリークラブ,西,ベント,レギュラー,2021.09.29,東,ベント,レギュラー,2021.09.29,72,6584,79.7,141
189,クラークカントリークラブ,西,ベント,フロント,2021.09.29,東,ベント,フロント,2021.09.29,72,5991,76.4,134
190,クラークカントリークラブ,東,ベント,バック,2021.09.29,中,ベント,バック,2021.09.29,72,6778,80.3,146
191,クラークカントリークラブ,東,ベント,レギュラー,2021.09.29,中,ベント,レギュラー,2021.09.29,72,6442,78.5,142
192,クラークカントリークラブ,東,ベント,フロント,2021.09.29,中,ベント,フロント,2021.09.29,72,5915,75.5,136
193,クラークカントリークラブ,中,ベント,バック,2021.09.29,西,ベント,バック,2021.09.29,72,6749,80.2,146
194,クラークカントリークラブ,中,ベント,レギュラー,2021.09.29,西,ベント,レギュラー,2021.09.29,72,6414,78.4,142
195,クラークカントリークラブ,中,ベント,フロント,2021.09.29,西,ベント,フロント,2021.09.29,72,5856,75.3,135
196,グリーンスコーレカントリー倶楽部,OUT,ベント,フロント,1997.07.04,IN,ベント,フロント,1997.07.04,72,5280,69.7,115
197,グレート旭川カントリー倶楽部,OUT,ベント,チャンピオン,2020.09.07,IN,ベント,チャンピオン,2020.09.07,72,6975,80.5,146
198,グレート旭川カントリー倶楽部,OUT,ベント,バック,2020.09.07,IN,ベント,バック,2020.09.07,72,6553,78.1,142
199,グレート旭川カントリー倶楽部,OUT,ベント,レギュラー,2020.09.07,IN,ベント,レギュラー,2020.09.07,72,6127,75.8,136
200,グレート旭川カントリー倶楽部,OUT,ベント,シルバー,2020.09.07,IN,ベント,シルバー,2020.09.07,72,5283,71.1,126
201,グレート旭川カントリー倶楽部,OUT,ベント,レディース,2020.09.07,IN,ベント,レディース,2020.09.07,72,4723,68.0,120
202,グレート札幌カントリー倶楽部,OUT,ベント,バック,2016.10.13,IN,ベント,バック,2016.10.13,72,6850,79.0,143
203,グレート札幌カントリー倶楽部,OUT,ベント,レギュラー,2016.10.13,IN,ベント,レギュラー,2016.10.13,72,6520,77.2,139
204,グレート札幌カントリー倶楽部,OUT,ベント,フロント,2016.10.13,IN,ベント,フロント,2016.10.13,72,6078,74.7,134
205,グレート札幌カントリー倶楽部,OUT,ベント,レディース,2016.10.13,IN,ベント,レディース,2016.10.13,72,5526,71.6,127
